,Unnamed: 0,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,2,"UX Researcher, Search",Google,"New York, NY (Chelsea area)+14 locations",,"Bachelor's degree in Human-Computer Interaction, Cognitive Science, Statistics, Psychology, Anthropology, related field, or equivalent practical experience.",Posted13 days ago,2022-05-05
1,3,UX Researcher II,Disney Streaming,"New York, NY",,"Work with other researchers to create strategic customer frameworks curated from individual research projects.
Ph.D. or Master’s degree a plus.",Posted30+ days ago,2022-05-05
2,4,UX Researcher,NBCUniversal,"New York, NY 10112 (Midtown area)",,Our team conducts primary research to support all phases of the product life cycle from identifying opportunities to building new products and features and…,Posted29 days ago,2022-05-05
3,5,UX Researcher,HelloFresh,"Remote in New York, NY+1 location",,"Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable…",Posted30+ days ago,2022-05-05
4,6,UX Researcher,Amex,"New York, NY+3 locations",,"In this role, you will coordinate our weekly Rapid Labs program with our vendors, support other researchers with moderated and unmoderated testing, workshops,…",Posted30+ days ago,2022-05-05
5,7,UX Researcher,Discovery Communications,"New York, NY 10003 (Flatiron area)+1 location",,"Work with researchers, product managers, and designers to conduct research.
Collaborate closely with other researchers, designers, product managers and…",Posted12 days ago,2022-05-05
6,8,UX Researcher,Voyager Digital,"Remote in New York, NY+1 location",,"You'll work with stakeholders across many functions and levels, and will have impact at all stages of product development.",Posted15 days ago,2022-05-05
7,9,"Snr UX Researcher, Customer Experience",PayPal,"Remote in New York, NY",,"Analyze data, develop impactful insights and deliverables, with the support from other researchers and your manager.",Posted26 days ago,2022-05-05
8,10,UX Researcher,Republic,"New York, NY",,"Your insights will drive and support evidence-based design and product decisions throughout the product development process.
Ability to execute with autonomy.",Posted30+ days ago,2022-05-05
9,15,Senior UX Researcher,Shortcut,"Remote in New York, NY",,"Thousands of the fastest-growing software companies use Shortcut to plan and build software, including Glossier, Venmo, Daitaku, Scale AI, FullStory,…",Posted30+ days ago,2022-05-05
10,17,"Human Effects UX Researcher , Human Effects",Amazon.com Services LLC,"New York, NY+2 locations",,"5+ years of hands-on experience conducting customer and market research in an applied setting.
Passion and track record of using qualitative + quantitative data…",Posted30+ days ago,2022-05-05
11,18,"Content Strategy Manager, UX",Google,"Hybrid remote in New York, NY",,"Work with product managers, UX researchers and designers, and marketing groups to ensure cross-functional collaboration and prioritization across teams.",Posted30+ days ago,2022-05-05
