,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,Data Analyst,KEYENCE,"Itasca, IL 60143",N/A,"Ability to work with large volume of confidential data.
Generate performance-based incentive compensation reports for sales teams on a monthly and quarterly…",Posted30+ days ago,2022-05-05
1,Data Management Analyst,Avant,"Chicago, IL 60601 (The Loop area)",N/A,"1+ years’ experience in data analysis, preferably working with large data sets.
As we improve and refactor our big data infrastructure, we need to ensure that…",EmployerActive 3 days ago,2022-05-05
2,new,Northrop Grumman,"Remote in Rolling Meadows, IL 60008+2 locations",N/A,"Reviews and analyzes released engineering change data and coordinates changes with engineering, quality, support, manufacturing, and engineering data control…",Posted1 day ago,2022-05-05
3,Clinical Data Analyst - Part-time,Rush University Medical Center,"Chicago, IL 60612 (Illinois Medical District area)+1 location",N/A,"Creates and maintains data sources, including custom data marts, to support research.
Expertise with data and analytics tools.",Posted30+ days ago,2022-05-05
4,Inventory Control Analyst - Manufacturing,"Ferrara Candy Company, Inc.","Chicago, IL 60623 (Little Village area)",N/A,"Minimum 3-5 years’ experience preferred.
Analyze data to determine appropriate moisture loss tracking by item.
Inventory control: 3 years (Required).",Posted9 days ago,2022-05-05
5,new,BOEING,"Chicago, IL 60695 (Loop area)+1 location",N/A,"Experience in data science or data analytics .
Experience taking data and deriving meaningful information through analysis and data visualization .",PostedToday,2022-05-05
6,Entry Level Business Analyst,Revature,"Chicago, IL+11 locations",N/A,"As a Entry Level Business Analyst you will receive on-the-job-training to become an experienced Business Analyst.
Benefits for Entry Level Business Analysts:",Posted16 days ago,2022-05-05
7,Data Analyst,A-V Services Inc.,"Chicago, IL",Estimated $76.3K - $96.5K a year,"Event Management Software data: 5 years (Preferred).
5+ years of experience writing advanced SQL, performance tuning of BI queries, data modeling, and data…",Posted19 days ago,2022-05-05
8,Business Intelligence Analyst,Google,"Chicago, IL (West Town area)",N/A,"Conceptual, logical and physical data modeling, and data architecture knowledge.
Experience with building data infrastructure (e.g., designing architecture,…",Posted8 days ago,2022-05-05
9,Data Analyst,TRESUME,"Chicago, IL 60611 (Near North area)",N/A,"Perform data cleanups and document processes.
Analyze internal and external data through quantitative research.
0-2 years of experience in a data support role.",EmployerActive 3 days ago,2022-05-05
10,new,The World’s Most Trusted Fundraising Platform,"Remote in Chicago, IL",Estimated $97.4K - $123K a year,"Learn from and assist data engineers with data transformations and ETL projects.
Knowledge of data tracking, database architecture, and ETL/data preparation…",PostedToday,2022-05-05
11,new,TEKsystems,"Remote in Chicago, IL 60601+2 locations",N/A,"Junior Business Analyst with Retail Banking experience*.
Our Financial Services client will be looking to add multiple BA's with Retail Banking experience to…",PostedJust posted,2022-05-05
12,Entry Level Business Analyst,AMGTech Solutions,"Chicago, IL",N/A,"In this position, you will be responsible for performing detailed analysis, documenting business and functional requirements.
Bachelors or Master’s degree.",Posted14 days ago,2022-05-05
13,new,FSA Federal,"Chicago, IL 60608 (Illinois Medical District area)",N/A,"Accurately enters required data into one or more databases, documents, or spreadsheets.
Attention to detail and the ability to read and follow directions is…",Posted6 days ago,2022-05-05
14,Data Analyst,ATHENA Consulting,"Chicago, IL 60605 (The Loop area)",N/A,"Performing data reconciliation to identify data irregularities.
Reviewing, researching and collecting data to assist with development and analyst · Identifying…",EmployerActive 3 days ago,2022-05-05
