,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,"Data Analyst, Sports Content",Disney Streaming,"New York, NY+4 locations",N/A,"Understanding of data warehousing concepts, design, modeling and data engineering.
Support business units, data teams and product/program management with…",Posted8 days ago,2022-05-05
1,Data Analyst,Sony Music Publishing (US) LLC,"New York, NY",N/A,"Develop new methods and metrics to draw insights from existing data sources, investigate emerging data sources.
Proficient in Python and SQL.",Posted23 days ago,2022-05-05
2,Junior Data Analyst,MealPal,"New York, NY",Estimated $57.9K - $73.3K a year,"️ Mine data for answers to business challenges.
️ Develop insights and recommend business strategy based on data.
This role is ideal for a 2022 College Grad.",Posted30+ days ago,2022-05-05
3,Data Analyst (Remote),pulseData,"Remote in New York, NY",N/A,"You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.
Bonus points for any experience in Spark.",Posted30+ days ago,2022-05-05
4,new,NYU Langone,"New York, NY+3 locations",N/A,Train junior research data analysts in the conduct of statistical analysis and specific analytical concerns related to national transplant registries.,PostedJust posted,2022-05-05
5,Data Analyst,Northwell Health,"New York, NY+8 locations",N/A,"Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).
Serves as a liaison between departments analytical…",Posted30+ days ago,2022-05-05
6,new,Columbia University Medical Center,"Hybrid remote in New York, NY 10032+5 locations",N/A,"Experience with quantitative data management and analysis.
Excellent written and oral communication skills and be detail oriented.",Posted6 days ago,2022-05-05
7,Data Analyst,Salient,"Remote in Horseheads, NY 14845+1 location",N/A,"Learning experience, (3) advanced Excel skills including experience with data validation, (4) editing HTML, and (5) R and.
401(k) match / profit share.",Posted23 days ago,2022-05-05
8,Data Analyst (Remote),MIRROR,"Remote in New York, NY 10018",Estimated $74.9K - $94.9K a year,"Promote data expertise, standard methodologies, and documentation for all analytical data needs.
The Data Analyst will help build the foundation for MIRRORs…",Posted30+ days ago,2022-05-05
9,new,Morgan Stanley,"New York, NY",N/A,"Flair for data, schema, data model.
Explore new data sources and data from new domains.
Understanding of data ware housing concepts.",PostedToday,2022-05-05
10,new,GlossGenius,"Remote in New York, NY",Estimated $78.6K - $99.6K a year,"Use dbt to design and build data models that enable great analysis.
The team assumes full ownership of our front-end data tech stack.",Posted7 days ago,2022-05-05
11,new,TransUnion,"Hybrid remote in White Plains, NY",N/A,"Develop data driven solutions for all products, while taking into consideration existing data challenges, data restrictions and potential alternate uses of…",Posted7 days ago,2022-05-05
12,new,Humanity,"Amsterdam, NY 12010+5 locations",Estimated $73.9K - $93.5K a year,"Experience in data management, data visualization and quality.
As a member of this team the individual is able to work independently by using their experience…",Posted4 days ago,2022-05-05
13,Data Analyst,Roles at YipitData,"Remote in New York, NY",Estimated $90.7K - $115K a year,Be the primary owner running or building new data products end-to-end from data ingestion or web scraping through publishing reports and sending granular data…,Posted30+ days ago,2022-05-05
14,new,Disney Streaming,"New York, NY+1 location",N/A,We are looking for a strong analyst who is interested in tackling growth initiatives and translating data and insights into business strategy In addition to…,Posted3 days ago,2022-05-05
