,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,new,American Express Global Business Travel,"Chicago, IL+2 locations",N/A,"Must have a Master’s degree in Computer Science, Computer Engineering, Information Systems, or related technical field and 1 year of work experience in job…",PostedToday,2022-05-05
1,new,WALGREENS,"Chicago, IL 60607 (West Loop Gate area)+9 locations",N/A,"Evolves software solutions that meet product functionality and quality needs with respect to functionality, performance, scalability, reliability, schedules and…",Posted4 days ago,2022-05-05
2,Associate Software Engineer,"Vizient, Inc.","Chicago, IL 60606 (Loop area)",N/A,"Full-stack software development experience preferred.
Resolve application defects (debugging and bug cycle support).
Develop and test defined user stories.",Posted26 days ago,2022-05-05
3,new,Accenture,"Chicago, IL",N/A,"Minimum 5 years’ of experience in a relevant discipline including UX design in immersive experiences, content creation across 2D and 3D workflows, XR, etc.",Posted7 days ago,2022-05-05
4,Software Development Engineer I,American Express Global Business Travel,"Chicago, IL",N/A,You will develop and test complex or non-routine software applications and related programs and procedures to ensure they meet design requirements.,Posted30+ days ago,2022-05-05
5,Software Development Engineer,"Amazon Dev Center U.S., Inc.","Chicago, IL+12 locations",N/A,"We're looking for a software development engineer to keep innovating upon our storage systems.
1+ years of experience in software development.",Posted30+ days ago,2022-05-05
6,new,"JPMorgan Chase Bank, N.A.","Chicago, IL+14 locations",N/A,"Understanding of software skills such as business analysis, development, maintenance, and software improvement.
BS/BA degree or equivalent experience.",PostedJust posted,2022-05-05
7,new,Splunk,"Remote in Chicago, IL 60610+2 locations",N/A,"Note: Disclosure per sb19-085 (8-5-201 et seq).
Experience in secure multi-tenant cloud development.
Experience with development and deployment in a hosted…",Posted1 day ago,2022-05-05
8,new,"JPMorgan Chase Bank, N.A.","Chicago, IL+3 locations",N/A,"Understanding of software skills such as business analysis, development, maintenance, and software improvement.
BS/BA degree or equivalent experience.",PostedJust posted,2022-05-05
9,Software Engineer II,Microsoft,"Chicago, IL 60601 (The Loop area)+1 location",N/A,"Hands-on experience building production quality software (ideally cloud services) in an agile environment.
Effective communication and collaboration skills.",Posted30+ days ago,2022-05-05
10,new,PayPal,"Chicago, IL 60618 (Avondale area)+8 locations",N/A,"We have great benefits including a flexible work environment, employee shares options, health and life insurance and more.
Experience in Kotlin or Swift coding.",Posted2 days ago,2022-05-05
11,Software QA Engineer [Remote],CDK Global,"Remote in Chicago, IL 60007",N/A,"Assist QA Lead Engineer with liaison between QA project team, outside contractors and internal company areas in coordinating QA responsibilities in the QA…",Posted12 days ago,2022-05-05
12,Junior Software Engineer,Valkyrie Trading,"Chicago, IL 60605 (The Loop area)",Estimated $76.9K - $97.3K a year,"Bachelor’s degree or a strong foundation in computers and programming.
Exceptional ability to produce clean, efficient code in C++ or C#.",Posted30+ days ago,2022-05-05
13,Software Engineer Apprentice,Red Foundry,"Chicago, IL",Estimated $95.2K - $121K a year,"Able to work collaboratively in small teams with other specialized software development individuals.
Bachelor’s degree in software engineering, computer science…",Posted30+ days ago,2022-05-05
14,Software Engineer,Imperium Dynamics,"Chicago, IL",Estimated $88.3K - $112K a year,"Develop quality software and web applications.
Analyze and maintain existing software applications.
Design highly scalable, testable code.",Posted30+ days ago,2022-05-05
15,new,Splunk,"Remote in Chicago, IL 60610+2 locations",N/A,"Note: Disclosure per sb19-085 (8-5-201 et seq).
Experience in secure multi-tenant cloud development.
Experience with development and deployment in a hosted…",Posted1 day ago,2022-05-05
16,Backend Engineer - NodeJS,iVoyant,"Chicago, IL+1 location",Estimated $107K - $135K a year,"2+ years experience as backend engineer developing API's.
3+ years of experience in software development experience.
2+ years experience in Node.js.",Posted12 days ago,2022-05-05
17,Software QA Engineer [Remote],CDK Global,"Remote in Chicago, IL 60007",N/A,"Assist QA Lead Engineer with liaison between QA project team, outside contractors and internal company areas in coordinating QA responsibilities in the QA…",Posted12 days ago,2022-05-05
18,"Staff Software Engineer, Compilers, Runtimes and Toolchains",Google,"Hybrid remote in Chicago, IL+1 location",N/A,"5 years of experience testing, and launching software products, and 3 years of experience with software design and architecture.",Posted19 days ago,2022-05-05
19,"Senior Software Engineer, Backend",Automox Technologies,"Remote in Chicago, IL",Estimated $113K - $143K a year,"Extend, enhance, and maintain the core product software and databases.
You have experience with cloud native application development ""Docker, AWS, Kubernetes"".",Posted30+ days ago,2022-05-05
