,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,Associate Software Engineer,Disney Streaming,"New York, NY+9 locations",N/A,"Hands-on experience using source control (Git, GitHub) and feature branching strategies.
Deploy and manage innovative modern cloud technologies using…",Posted11 days ago,2022-05-05
1,Software Engineer,Nike,"New York, NY+1 location",N/A,"Applicant must have a Bachelor’s degree in Computer Science, Computer Information Systems, or Engineering and five (5) years of progressive post-baccalaureate…",Posted20 days ago,2022-05-05
2,Software Development Engineer,Adobe,"New York, NY+1 location",N/A,"Develop against container orchestration and cloud provider platforms to deploy, manage, discover, and secure Adobe's web, big data, and machine-learning…",Posted30+ days ago,2022-05-05
3,Associate Software Engineer I,ACLU,"Remote in New York, NY 10004+1 location",N/A,"Experience in a server-side web programming environment (e.g., node.js, PHP, Python, Ruby).
Demonstrates a commitment to continued learning and consistent…",Posted30+ days ago,2022-05-05
4,"Software Engineer, Early Career",Notion,"New York, NY+5 locations",Estimated $116K - $147K a year,Notion is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application…,Posted30+ days ago,2022-05-05
5,new,IBM,"Poughkeepsie, NY 12601+7 locations",N/A,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…",PostedToday,2022-05-05
6,Software Engineer,AT&T,"New York, NY+1 location",N/A,"In your day to day you are well organized and able to effectively prioritize tasks, deliver high-quality code, and participate in your team's agile development…",Posted14 days ago,2022-05-05
7,new,Splunk,"Remote in New York, NY 10001+4 locations",N/A,"Note: Disclosure per sb19-085 (8-5-201 et seq).
Experience in secure multi-tenant cloud development.
Experience with development and deployment in a hosted…",Posted1 day ago,2022-05-05
8,Software Engineer: Fall Co-Op,Jane Street,"New York, NY+1 location",Estimated $54.9K - $69.5K a year,"Communicates clearly and respectfully with colleagues.
We use code to approach a variety of problems, so we’re interested in everything from machine learning to…",Posted30+ days ago,2022-05-05
9,Software Engineer,Carta,"New York, NY",Estimated $144K - $182K a year,"We build software to help new funds launch, investors to track analytics and performance, for fund accountants operating the books and financial records for…",Posted30+ days ago,2022-05-05
10,new,"Amazon Dev Center U.S., Inc.","New York, NY+126 locations",N/A,"1+ years of experience in software development.
Programming experience with at least one software programming language.",PostedToday,2022-05-05
11,"Software Engineer - Availability, Cash App",Cash App,"Remote in New York, NY+8 locations",Estimated $103K - $131K a year,"We’re a team of engineers with a very wide breadth of experience, and we frequently work in teams to tackle big problems.",Posted9 days ago,2022-05-05
12,"Software Engineer, Test, Advertising",Spotify,"Remote in New York, NY",Estimated $116K - $147K a year,We are looking for an experienced Software Engineer in Test (SDET) to enable and encourage squads across the Self-Serve Advertising organization to design and…,Posted30+ days ago,2022-05-05
13,RPG Programmer (Remote Work Available),Taylor Corporation,"Remote in Amsterdam, NY",Estimated $90.2K - $114K a year,"With Daily Pay, you can get paid on your very first day.
Proficient written and oral communication skills.
Integrating Stored Procedures and service-oriented…",Posted30+ days ago,2022-05-05
14,Junior Software Engineer,Hearst Media Services,"New York, NY 10019 (Midtown area)",Estimated $78.2K - $99K a year,"We’re building an open, service-oriented platform driven by APIs, and belief in crafting simple, elegant solutions to complex technological and product problems…",Posted9 days ago,2022-05-05
15,"Software Engineer, Frontend - Multiple Teams (Multiple Level...",Clear Street,"New York, NY+4 locations",Estimated $116K - $147K a year,Our tech-infused suite of customer experience-oriented prime service offerings will increase our clients' efficiency and provide real-time insights they've…,Posted30+ days ago,2022-05-05
16,Software Engineer II,Disney Streaming,"Remote in New York, NY+14 locations",N/A,"Experience with Datadog or similar application monitoring software.
Understanding of source control concepts and exposure to Git.",Posted30+ days ago,2022-05-05
17,Software Engineer,Shutterstock,"Remote in New York, NY 10118",N/A,"Relevant frontend software development experience.
Experience using libraries and frameworks such as React, Next.js or similar.",Posted30+ days ago,2022-05-05
18,Jr. Backend Engineer,MealPal,"New York, NY+1 location",Estimated $126K - $160K a year,"️ Eager to study current software engineering practices.
️ Ability to learn new software and technologies quickly.
️ 401(k) with Employer Match.",Posted21 days ago,2022-05-05
19,"Full Stack Software Engineer, Apple Media Products",Apple,"New York, NY+4 locations",N/A,"You will partner and collaborate with other stakeholder teams within Apple to push your architectural innovations out.
BS in CS or equivalent experience.",Posted30+ days ago,2022-05-05
20,"Frontend Engineer, Podsights",Spotify,"Remote in New York, NY",Estimated $125K - $158K a year,"Work day-to-day in a multi-functional team of engineers, designers, writers and product managers to build and maintain our React-based Web Application.",Posted30+ days ago,2022-05-05
