,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,UI/UX Researcher,Motorola Solutions,"Chicago, IL",N/A,"As a UI/UX Researcher, you will be part of a community of researchers and designers tasked with analyzing complicated user challenges to prototype and evaluate…",Posted22 days ago,2022-05-05
1,UX Researcher,Allstate,"Remote in Northbrook, IL+1 location",N/A,"Practice true user-centered design, supported by robust research and analytics capabilities.
At Allstate, you’ll help innovate and reinvent insurance and…",Posted30+ days ago,2022-05-05
2,Sr. UX Researcher,Allstate,"Remote in Northbrook, IL",N/A,"Practice true user-centered design, supported by robust research and analytics capabilities.
At Allstate, you’ll help innovate and reinvent insurance and…",Posted30+ days ago,2022-05-05
3,UX Researcher,HelloFresh,"Remote in Chicago, IL+1 location",N/A,"Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable…",Posted30+ days ago,2022-05-05
4,UX Research Associate,Creative Circle,"Remote in Chicago, IL 60624+2 locations",N/A,"Assist other user researchers with various user research preparation activities.
Type Freelance (40 hours a week).
1+ years of relevant work experience.",Posted11 days ago,2022-05-05
5,new,Buildout,"Remote in Chicago, IL",N/A,"5+ years of professional experience in UX/UI as a user experience designer, product designer, or researcher with a strong portfolio of design projects including…",Posted2 days ago,2022-05-05
6,UX Researcher,RetailMeNot,"Hybrid remote in Chicago, IL 60601",N/A,"Working with our lead researcher, you’ll be responsible for delivering actionable recommendations.
Work with key stakeholders including designers, other…",Posted14 days ago,2022-05-05
7,UX Researcher,Bold Insight,"Remote in Downers Grove, IL+1 location",N/A,"Master’s Degree in behavioral research or comparable experience as a user experience researcher, human factors practitioner, industrial engineer, cognitive…",Posted15 days ago,2022-05-05
8,"UX Researcher, Small Business",PayPal,"Chicago, IL 60618 (Avondale area)+1 location",N/A,"Analyze data, develop impactful insights and deliverables, with the support of a senior researcher.
At PayPal, UX Researchers influence teams to make customer…",Posted19 days ago,2022-05-05
9,new,Mode Mobile,"Remote in Chicago, IL",N/A,"We're a well-funded revenue-generating company, and have a runway for years to come.
Help build best UX research practices inside the organization and play a…",Posted6 days ago,2022-05-05
