,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
0,new,Etsy,"Remote in Brooklyn, NY 11201",N/A,"As a researcher on Etsy’s Product Research team, you will work in partnership with product managers, designers, engineers, and alongside other researchers and…",PostedJust posted,2022-05-05
1,"User Researcher, Content Experiences",Spotify,"Remote in New York, NY+7 locations",N/A,"Work closely with a cross-functional, geographically distributed team of data scientists, user researchers, product managers, designers and engineers across New…",Posted30+ days ago,2022-05-05
2,"UX Researcher, Search",Google,"New York, NY (Chelsea area)+14 locations",N/A,"Bachelor's degree in Human-Computer Interaction, Cognitive Science, Statistics, Psychology, Anthropology, related field, or equivalent practical experience.",Posted13 days ago,2022-05-05
3,UX Researcher II,Disney Streaming,"New York, NY",N/A,"Work with other researchers to create strategic customer frameworks curated from individual research projects.
Ph.D. or Master’s degree a plus.",Posted30+ days ago,2022-05-05
4,UX Researcher,NBCUniversal,"New York, NY 10112 (Midtown area)",N/A,Our team conducts primary research to support all phases of the product life cycle from identifying opportunities to building new products and features and…,Posted29 days ago,2022-05-05
5,UX Researcher,HelloFresh,"Remote in New York, NY+1 location",N/A,"Our weekly boxes full of exciting recipes and fresh ingredients have blossomed into a community of customers looking for delicious, healthy and sustainable…",Posted30+ days ago,2022-05-05
6,UX Researcher,Amex,"New York, NY+3 locations",N/A,"In this role, you will coordinate our weekly Rapid Labs program with our vendors, support other researchers with moderated and unmoderated testing, workshops,…",Posted30+ days ago,2022-05-05
7,UX Researcher,Discovery Communications,"New York, NY 10003 (Flatiron area)+1 location",N/A,"Work with researchers, product managers, and designers to conduct research.
Collaborate closely with other researchers, designers, product managers and…",Posted12 days ago,2022-05-05
8,UX Researcher,Voyager Digital,"Remote in New York, NY+1 location",N/A,"You'll work with stakeholders across many functions and levels, and will have impact at all stages of product development.",Posted15 days ago,2022-05-05
9,"Snr UX Researcher, Customer Experience",PayPal,"Remote in New York, NY",N/A,"Analyze data, develop impactful insights and deliverables, with the support from other researchers and your manager.",Posted26 days ago,2022-05-05
10,UX Researcher,Republic,"New York, NY",N/A,"Your insights will drive and support evidence-based design and product decisions throughout the product development process.
Ability to execute with autonomy.",Posted30+ days ago,2022-05-05
11,new,Humanity,"Amsterdam, NY 12010",N/A,"Reporting to the Senior Director of User Experience and sitting in our Product function, you will be a team leader as well as have experience as an active…",Posted4 days ago,2022-05-05
